[ 2026-06-16 08:16:10,828 ] 17 root - INFO - Initiate data ingestion
[ 2026-06-16 08:16:17,763 ] 58 root - INFO - Performing split_data_as_train_test on dataframe
[ 2026-06-16 08:16:17,766 ] 62 root - INFO - Exited split_data_as_train_test method of data ingetion 
[ 2026-06-16 08:16:17,766 ] 65 root - INFO -  Exporting training and testing file path
[ 2026-06-16 08:16:17,809 ] 72 root - INFO - Exported train test split file path
[ 2026-06-16 08:16:17,809 ] 19 root - INFO - Data intiatin complited
[ 2026-06-16 08:16:17,815 ] 23 root - INFO - Initiate data Validation --------------
[ 2026-06-16 08:16:17,831 ] 32 root - INFO - Required no of columns 2
[ 2026-06-16 08:16:17,831 ] 33 root - INFO - DataFrame has columns  31
[ 2026-06-16 08:16:17,839 ] 32 root - INFO - Required no of columns 2
[ 2026-06-16 08:16:17,839 ] 33 root - INFO - DataFrame has columns  31
[ 2026-06-16 08:16:17,955 ] 25 root - INFO - Data Validation complited---------
[ 2026-06-16 08:16:17,955 ] 29 root - INFO - Data transformation started---------
[ 2026-06-16 08:16:17,955 ] 51 root - INFO - Entered initiate_data_transformation method of class DataTransformation
[ 2026-06-16 08:16:17,956 ] 53 root - INFO - Starting data transformation
[ 2026-06-16 08:16:17,974 ] 40 root - INFO -  Entered get_data_transformer_obj method of data transormation class 
[ 2026-06-16 08:16:17,974 ] 43 root - INFO - Initialises KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-06-16 08:16:17,996 ] 51 root - INFO - Entered the save_object method of MainUtils class
[ 2026-06-16 08:16:17,998 ] 55 root - INFO - Exited the save_object method of MainUtils class
[ 2026-06-16 08:16:17,999 ] 32 root - INFO - Data transformation complited---------
[ 2026-06-16 08:16:17,999 ] 35 root - INFO - Model Training started---------
[ 2026-06-16 08:18:47,572 ] 51 root - INFO - Entered the save_object method of MainUtils class
[ 2026-06-16 08:18:47,573 ] 55 root - INFO - Exited the save_object method of MainUtils class
[ 2026-06-16 08:18:47,573 ] 51 root - INFO - Entered the save_object method of MainUtils class
[ 2026-06-16 08:18:47,576 ] 55 root - INFO - Exited the save_object method of MainUtils class
[ 2026-06-16 08:18:47,576 ] 138 root - INFO - Model trainer artifact: ModelTrainerArtifacts(trained_model_file_path='Artifacts\\06_16_2026_08_16_08\\model_trainer\\trained_model\\model.pkl', train_matric_artifact=ClassificationMatricArtifact(f1_score=0.9908071522375997, precision_score=0.9891085114965712, recall_score=0.9925116373203805), test_matric_artifact=ClassificationMatricArtifact(f1_score=0.9779591836734693, precision_score=0.9708265802269044, recall_score=0.9851973684210527))
[ 2026-06-16 08:18:47,577 ] 40 root - INFO - Model Training Ended--------------Model Training artifact created
